review_id,spot_name,city,province,travel_type,season,travel_month,trip_days,cost_cny_per_person,is_revisit,rating,review_text,recommend_index_raw,helpful_votes
TR000014,华严寺砖塔,朔州,山西,周末短途,冬季,9,4,1489,否,3,9月去的华严寺砖塔，情侣出行。地点在朔州，打车比较省心，现场游客较多。这次玩了4天，人均花费约1489元，氛围感不错。景点印象：华严寺砖塔位于怀仁县何家堡乡悟道村西2．5公里的清凉山。山分为南北两峰，南峰海拔1467米，北峰海拔1500米。二峰之间山凹盆地上有华严寺遗址。考之残垣断壁和部分残存筒板瓦等，当系辽代始创，清代重建。寺院座北朝南，全部范围原有正殿、乐楼、东…整体感受是还可以，避开高峰更好。二刷意愿：否。,0%,26
TR000015,红山国家森林公园,赤峰,内蒙古,周末短途,秋季,8,6,1391,是,5,8月去的红山国家森林公园，和家人出行。地点在赤峰，打车比较省心，现场高峰时段比较拥挤。这次玩了6天，人均花费约1391元，氛围感不错。景点印象：景点本身有一定特色整体感受是特别满意，很推荐。二刷意愿：是。,0%,35
TR000016,秦岭野生动物园,西安,陕西,拍照旅行,冬季,9,1,521,否,4,9月去的秦岭野生动物园，一个人出行。地点在西安，打车比较省心，现场游客较多。这次玩了1天，人均花费约521元，夜景表现很好。景点印象：园内可以观赏各类猛兽，还有海洋动物和鸟类动物的表演。整体感受是体验挺好，可以安排半天到一天。二刷意愿：否。,0%,65
TR000017,野梅岭森林公园,黔南,贵州,亲子出游,冬季,9,2,435,否,5,9月去的野梅岭森林公园，情侣出行。地点在黔南，地铁到达方便，现场高峰时段比较拥挤。这次玩了2天，人均花费约435元，拍照很出片。景点印象：周边配套比较齐全整体感受是特别满意，值得专门打卡。二刷意愿：否。,0%,113
TR000018,新滨胡庙,辽源,吉林,深度游,秋季,8,2,519,否,4,8月去的新滨胡庙，情侣出行。地点在辽源，自驾停车需要提前规划，现场游客较多。这次玩了2天，人均花费约519元，夜景表现很好。景点印象：景点本身有一定特色整体感受是整体不错，周末来刚好。二刷意愿：否。,0%,63
TR000019,金沙湾,湛江,广东,深度游,春季,1,3,1074,否,5,1月去的金沙湾，一个人出行。地点在湛江，自驾停车需要提前规划，现场人流量适中。这次玩了3天，人均花费约1074元，氛围感不错。景点印象：整体环境还算干净整体感受是挺惊喜，以后还会来。二刷意愿：否。,0%,95
TR000020,龙塘三角亭,屯昌,海南,周末短途,春季,1,3,865,是,4,1月去的龙塘三角亭，和家人出行。地点在屯昌，公交换乘方便，现场高峰时段比较拥挤。这次玩了3天，人均花费约865元，氛围感不错。景点印象：整体环境还算干净整体感受是还蛮满意，可以安排半天到一天。二刷意愿：是。,0%,78
TR000021,日升昌票号,晋中,山西,深度游,秋季,6,3,877,是,5,6月去的日升昌票号，一个人出行。地点在晋中，自驾停车需要提前规划，现场人不算多。这次玩了3天，人均花费约877元，夜景表现很好。景点印象：这里是中国最早的私人银行，其经营网点曾经几乎遍布整个中国，是平遥古城中的必游之地。整体感受是挺惊喜，以后还会来。二刷意愿：是。,28%,23
TR000022,松山湖生态景区,东莞,广东,拍照旅行,秋季,6,3,886,是,4,6月去的松山湖生态景区，和家人出行。地点在东莞，公交换乘方便，现场人不算多。这次玩了3天，人均花费约886元，夜景表现很好。景点印象：松山湖风景秀丽，植被丰富。是家人周末散步，骑车的好去处。整体感受是整体不错，可以安排半天到一天。二刷意愿：是。,2%,92
TR000023,紫亭凤,鄂州,湖北,拍照旅行,春季,2,1,638,是,5,2月去的紫亭凤，情侣出行。地点在鄂州，自驾停车需要提前规划，现场人不算多。这次玩了1天，人均花费约638元，历史文化气息浓。景点印象：景点本身有一定特色整体感受是超出预期，值得专门打卡。二刷意愿：是。,0%,88
TR000024,柳叶湖旅游度假区,常德,湖南,拍照旅行,夏季,4,1,450,否,5,4月去的柳叶湖旅游度假区，一个人出行。地点在常德，打车比较省心，现场人流量适中。这次玩了1天，人均花费约450元，历史文化气息浓。景点印象：整体环境还算干净整体感受是挺惊喜，很推荐。二刷意愿：否。,20%,80
TR000025,秋沟景区,新乡,河南,深度游,冬季,10,5,1218,否,5,10月去的秋沟景区，情侣出行。地点在新乡，自驾停车需要提前规划，现场人不算多。这次玩了5天，人均花费约1218元，氛围感不错。景点印象：整体环境还算干净整体感受是挺惊喜，值得专门打卡。二刷意愿：否。,0%,84
TR000026,千年舟,驻马店,河南,周末短途,夏季,3,6,1511,否,5,3月去的千年舟，和朋友出行。地点在驻马店，地铁到达方便，现场游客较多。这次玩了6天，人均花费约1511元，历史文化气息浓。景点印象：周边配套比较齐全整体感受是特别满意，以后还会来。二刷意愿：否。,0%,127
TR000027,金厢银滩,汕尾,广东,文化打卡,夏季,4,2,930,否,4,4月去的金厢银滩，和家人出行。地点在汕尾，自驾停车需要提前规划，现场高峰时段比较拥挤。这次玩了2天，人均花费约930元，拍照很出片。景点印象：景点本身有一定特色整体感受是整体不错，推荐来看看。二刷意愿：否。,0%,81
TR000028,黑沟,哈密,新疆,深度游,冬季,11,3,1000,否,5,"11月去的黑沟，一个人出行。地点在哈密，地铁到达方便，现场高峰时段比较拥挤。这次玩了3天，人均花费约1000元，夜景表现很好。景点印象：距县城西南8公里处有一个山沟叫西黑沟。黑沟山高、沟长，植被茂盛，暖季一片葱笼墨绿，即使冬季大雪封盖，但松柏长青，依然苍翠，与墨色有不解之缘，才以黑命名，所以称“黑沟”。
黑沟山高，雪冠终年晶莹闪耀，冰川纯白无瑕，与黑绿形成对比，是黑…整体感受是挺惊喜，很推荐。二刷意愿：否。",0%,76
TR000029,汕头市博物馆,汕头,广东,亲子出游,秋季,8,5,1496,是,5,8月去的汕头市博物馆，一个人出行。地点在汕头，打车比较省心，现场游客较多。这次玩了5天，人均花费约1496元，夜景表现很好。景点印象：周边配套比较齐全整体感受是超出预期，很推荐。二刷意愿：是。,0%,105
TR000030,四方山植物园,十堰,湖北,拍照旅行,春季,2,4,1060,否,5,2月去的四方山植物园，一个人出行。地点在十堰，公交换乘方便，现场人流量适中。这次玩了4天，人均花费约1060元，夜景表现很好。景点印象：周边配套比较齐全整体感受是挺惊喜，值得专门打卡。二刷意愿：否。,0%,83
TR000031,甘丹寺,拉萨,西藏,周末短途,冬季,9,2,530,否,5,9月去的甘丹寺，一个人出行。地点在拉萨，公交换乘方便，现场人不算多。这次玩了2天，人均花费约530元，历史文化气息浓。景点印象：拉萨三大寺、格鲁派六大寺庙之一，寺内24幅唐卡很精美，燃灯节会举办祭奠仪式。整体感受是特别满意，以后还会来。二刷意愿：否。,3%,97
TR000032,鱼脊山盖国候庙,陇南,甘肃,城市漫游,夏季,4,2,297,是,5,4月去的鱼脊山盖国候庙，一个人出行。地点在陇南，打车比较省心，现场游客较多。这次玩了2天，人均花费约297元，历史文化气息浓。景点印象：景点本身有一定特色整体感受是超出预期，以后还会来。二刷意愿：是。,0%,41
TR000033,莺歌渔梦海乐园,乐东,海南,周末短途,秋季,7,5,1270,是,5,7月去的莺歌渔梦海乐园，一个人出行。地点在乐东，公交换乘方便，现场游客较多。这次玩了5天，人均花费约1270元，历史文化气息浓。景点印象：整体环境还算干净整体感受是特别满意，很推荐。二刷意愿：是。,0%,83
TR000034,狮泉河,阿里,西藏,亲子出游,夏季,5,2,1126,否,2,5月去的狮泉河，一个人出行。地点在阿里，自驾停车需要提前规划，现场游客较多。这次玩了2天，人均花费约1126元，拍照很出片。景点印象：景点本身有一定特色整体感受是没达到预期，可考虑其他景点。二刷意愿：否。,20%,36
TR000035,拉乌山,昌都,西藏,拍照旅行,秋季,6,1,434,否,5,"6月去的拉乌山，情侣出行。地点在昌都，打车比较省心，现场高峰时段比较拥挤。这次玩了1天，人均花费约434元，历史文化气息浓。景点印象：拉乌山是川藏公路318国道西藏芒康境内的一个平缓的山口,山顶有一个比较壮观的经幡阵，整整占了一个山头。 拉乌山口海拔4338米，但站在垭口上如果有天眼的话就可俯看金沙江和澜沧江了。整体感受是特别满意，很推荐。二刷意愿：否。",16%,111
TR000036,孤树镇,唐山,河北,文化打卡,冬季,11,6,1107,是,5,11月去的孤树镇，和朋友出行。地点在唐山，自驾停车需要提前规划，现场人不算多。这次玩了6天，人均花费约1107元，历史文化气息浓。景点印象：孤树镇位于玉田县城西部，北靠燕山、南邻兰泉河。地势北高南低。北部土壤为淋溶褐土和草甸褐土，南部为平原洼地，土壤多潮土。全镇气候为温带季风气候。四季分明，冬季盛行西到西北风，夏季盛行东到东南风。全年平均气温11.2℃，最高气温40.2℃，最…整体感受是特别满意，值得专门打卡。二刷意愿：是。,0%,83
TR000037,大绿塘,文山,云南,亲子出游,春季,2,2,804,是,5,2月去的大绿塘，和家人出行。地点在文山，公交换乘方便，现场高峰时段比较拥挤。这次玩了2天，人均花费约804元，历史文化气息浓。景点印象：景点本身有一定特色整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,0%,100
TR000038,乔家大院,晋中,山西,文化打卡,夏季,4,2,382,是,5,4月去的乔家大院，和家人出行。地点在晋中，地铁到达方便，现场游客较多。这次玩了2天，人均花费约382元，历史文化气息浓。景点印象：《乔家大院》、《大红灯笼高高挂》等多部影视作品的取景地，砖雕、彩绘、牌匾是最大看点。整体感受是特别满意，值得专门打卡。二刷意愿：是。,28%,77
TR000039,张学良筑港纪念碑,葫芦岛,辽宁,拍照旅行,秋季,6,7,1704,是,5,6月去的张学良筑港纪念碑，一个人出行。地点在葫芦岛，自驾停车需要提前规划，现场人不算多。这次玩了7天，人均花费约1704元，氛围感不错。景点印象：景点本身有一定特色整体感受是特别满意，很推荐。二刷意愿：是。,1%,104
TR000040,呼玛吴八老岛,大兴安岭,黑龙江,亲子出游,春季,12,1,646,否,5,12月去的呼玛吴八老岛，和家人出行。地点在大兴安岭，打车比较省心，现场游客较多。这次玩了1天，人均花费约646元，氛围感不错。景点印象：为黑龙江第二大岛，该岛位于漠河县兴安乡东北约4公里的黑龙江中，距中国岸50米，距俄岸350米。1685年（康熙二十四年）理藩院待郎明爱奉诏修墨尔要（嫩江）至雅克萨之间的驿站，在雅克萨之战期间，该岛又成为清军收复雅克萨的桥头堡。在岛上筑土城、…整体感受是超出预期，值得专门打卡。二刷意愿：否。,0%,69
TR000041,西樵山风景名胜区,佛山,广东,深度游,春季,12,4,883,是,5,12月去的西樵山风景名胜区，和朋友出行。地点在佛山，公交换乘方便，现场高峰时段比较拥挤。这次玩了4天，人均花费约883元，拍照很出片。景点印象：看黄飞鸿电影里的无影脚和舞狮表演，三月还能赏桃花。整体感受是特别满意，很推荐。二刷意愿：是。,9%,94
TR000042,鸣沙山月牙泉,酒泉,甘肃,城市漫游,春季,1,1,210,是,5,1月去的鸣沙山月牙泉，情侣出行。地点在酒泉，公交换乘方便，现场人流量适中。这次玩了1天，人均花费约210元，历史文化气息浓。景点印象：欣赏沙漠与清泉共存的美景，感受西北大漠的苍凉广阔。整体感受是特别满意，以后还会来。二刷意愿：是。,59%,50
TR000043,贾家庄文化生态旅游景区,吕梁,山西,拍照旅行,冬季,11,3,962,是,4,11月去的贾家庄文化生态旅游景区，一个人出行。地点在吕梁，打车比较省心，现场游客较多。这次玩了3天，人均花费约962元，拍照很出片。景点印象：整体环境还算干净整体感受是还蛮满意，周末来刚好。二刷意愿：是。,0%,50
TR000044,三危圣境,酒泉,甘肃,亲子出游,春季,1,3,883,是,5,1月去的三危圣境，和朋友出行。地点在酒泉，打车比较省心，现场人流量适中。这次玩了3天，人均花费约883元，夜景表现很好。景点印象：三危圣境规模甚大，有山门牌坊、各种庙宇、圣殿，一派佛国圣地、道家天宫景象。整体感受是超出预期，以后还会来。二刷意愿：是。,0%,87
TR000045,春秋寨景区,襄阳,湖北,文化打卡,冬季,9,3,834,是,5,9月去的春秋寨景区，情侣出行。地点在襄阳，地铁到达方便，现场游客较多。这次玩了3天，人均花费约834元，拍照很出片。景点印象：周边配套比较齐全整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,3%,78
TR000046,御窑厂国家考古遗址公园,景德镇,江西,文化打卡,秋季,7,1,609,是,5,7月去的御窑厂国家考古遗址公园，和朋友出行。地点在景德镇，公交换乘方便，现场人流量适中。这次玩了1天，人均花费约609元，历史文化气息浓。景点印象：景点本身有一定特色整体感受是特别满意，以后还会来。二刷意愿：是。,0%,55
TR000047,平顶山火山群,锡林郭勒盟,内蒙古,城市漫游,夏季,5,6,1770,是,5,5月去的平顶山火山群，和家人出行。地点在锡林郭勒盟，打车比较省心，现场人不算多。这次玩了6天，人均花费约1770元，氛围感不错。景点印象：周边配套比较齐全整体感受是特别满意，很推荐。二刷意愿：是。,9%,106
TR000048,官马溶洞,吉林市,吉林,城市漫游,秋季,7,1,446,否,4,7月去的官马溶洞，和朋友出行。地点在吉林市，打车比较省心，现场高峰时段比较拥挤。这次玩了1天，人均花费约446元，拍照很出片。景点印象：周边配套比较齐全整体感受是还蛮满意，周末来刚好。二刷意愿：否。,0%,80
TR000049,五里关,渭南,陕西,拍照旅行,秋季,6,2,145,否,5,6月去的五里关，一个人出行。地点在渭南，地铁到达方便，现场高峰时段比较拥挤。这次玩了2天，人均花费约145元，氛围感不错。景点印象：整体环境还算干净整体感受是挺惊喜，以后还会来。二刷意愿：否。,3%,105
TR000050,二滩国家森林公园,攀枝花,四川,城市漫游,冬季,9,1,553,否,4,9月去的二滩国家森林公园，一个人出行。地点在攀枝花，打车比较省心，现场游客较多。这次玩了1天，人均花费约553元，夜景表现很好。景点印象：自然风光和人工建筑相结合的景区，完美的自驾游目的地。整体感受是还蛮满意，周末来刚好。二刷意愿：否。,3%,38
TR000051,库车老城区,阿克苏,新疆,拍照旅行,春季,12,3,912,是,3,12月去的库车老城区，一个人出行。地点在阿克苏，自驾停车需要提前规划，现场人不算多。这次玩了3天，人均花费约912元，拍照很出片。景点印象：周边配套比较齐全整体感受是体验一般，按需选择。二刷意愿：是。,0%,49
TR000052,红杜鹃,新余,江西,深度游,春季,12,6,1252,是,5,12月去的红杜鹃，和朋友出行。地点在新余，地铁到达方便，现场游客较多。这次玩了6天，人均花费约1252元，历史文化气息浓。景点印象：整体环境还算干净整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,0%,86
TR000053,康县美术馆,陇南,甘肃,深度游,春季,12,1,193,是,5,12月去的康县美术馆，一个人出行。地点在陇南，地铁到达方便，现场游客较多。这次玩了1天，人均花费约193元，夜景表现很好。景点印象：整体环境还算干净整体感受是挺惊喜，值得专门打卡。二刷意愿：是。,0%,84
TR000054,铁山寺国家森林公园,淮安,江苏,亲子出游,冬季,10,2,593,是,5,10月去的铁山寺国家森林公园，一个人出行。地点在淮安，自驾停车需要提前规划，现场游客较多。这次玩了2天，人均花费约593元，氛围感不错。景点印象：整体环境还算干净整体感受是特别满意，以后还会来。二刷意愿：是。,0%,86
TR000055,韩江,潮州,广东,文化打卡,冬季,10,1,489,是,5,10月去的韩江，和家人出行。地点在潮州，地铁到达方便，现场人不算多。这次玩了1天，人均花费约489元，氛围感不错。景点印象：整体环境还算干净整体感受是挺惊喜，很推荐。二刷意愿：是。,0%,111
TR000056,福宝古镇,泸州,四川,拍照旅行,秋季,7,1,789,否,5,7月去的福宝古镇，和家人出行。地点在泸州，自驾停车需要提前规划，现场游客较多。这次玩了1天，人均花费约789元，氛围感不错。景点印象：周边配套比较齐全整体感受是挺惊喜，值得专门打卡。二刷意愿：否。,11%,51
TR000057,圣泉旅游度假区-动物园,博尔塔拉,新疆,深度游,夏季,5,3,846,否,3,5月去的圣泉旅游度假区-动物园，和家人出行。地点在博尔塔拉，公交换乘方便，现场高峰时段比较拥挤。这次玩了3天，人均花费约846元，拍照很出片。景点印象：周边配套比较齐全整体感受是中规中矩，别抱太高期待。二刷意愿：否。,0%,33
TR000058,沱沱河,海西,青海,文化打卡,春季,1,4,1347,否,5,1月去的沱沱河，和家人出行。地点在海西，公交换乘方便，现场高峰时段比较拥挤。这次玩了4天，人均花费约1347元，历史文化气息浓。景点印象：周边配套比较齐全整体感受是挺惊喜，以后还会来。二刷意愿：否。,4%,86
TR000059,云南省茶文化博物馆,昆明,云南,拍照旅行,春季,2,1,436,是,4,2月去的云南省茶文化博物馆，情侣出行。地点在昆明，地铁到达方便，现场人流量适中。这次玩了1天，人均花费约436元，夜景表现很好。景点印象：景点本身有一定特色整体感受是还蛮满意，可以安排半天到一天。二刷意愿：是。,0%,78
TR000060,白龙洞景区,黑河,黑龙江,深度游,春季,12,2,758,否,3,12月去的白龙洞景区，和家人出行。地点在黑河，打车比较省心，现场游客较多。这次玩了2天，人均花费约758元，氛围感不错。景点印象：周边配套比较齐全整体感受是中规中矩，别抱太高期待。二刷意愿：否。,5%,83
TR000061,张家湖,吴忠,宁夏,周末短途,秋季,7,2,331,是,5,7月去的张家湖，和朋友出行。地点在吴忠，打车比较省心，现场人不算多。这次玩了2天，人均花费约331元，拍照很出片。景点印象：整体环境还算干净整体感受是特别满意，以后还会来。二刷意愿：是。,0%,91
TR000062,郁孤台公园,赣州,江西,亲子出游,春季,1,2,945,是,5,1月去的郁孤台公园，和家人出行。地点在赣州，地铁到达方便，现场游客较多。这次玩了2天，人均花费约945元，拍照很出片。景点印象：周边配套比较齐全整体感受是挺惊喜，以后还会来。二刷意愿：是。,20%,104
TR000063,白山寺,资阳,四川,周末短途,夏季,3,2,882,是,5,3月去的白山寺，和朋友出行。地点在资阳，自驾停车需要提前规划，现场游客较多。这次玩了2天，人均花费约882元，氛围感不错。景点印象：景点本身有一定特色整体感受是挺惊喜，以后还会来。二刷意愿：是。,0%,78
TR000064,青海可可西里国家级自然保护区,玉树,青海,文化打卡,春季,1,4,1226,是,4,1月去的青海可可西里国家级自然保护区，和家人出行。地点在玉树，地铁到达方便，现场人不算多。这次玩了4天，人均花费约1226元，氛围感不错。景点印象：青海可可西里国家级自然保护区主要保护藏羚羊、野生牦牛等珍稀野生动物，是我国面积最大、海拔最高的自然保护区。整体感受是整体不错，可以安排半天到一天。二刷意愿：是。,53%,94
TR000065,溱湖国家湿地公园-湿地迷宫体验区,泰州,江苏,拍照旅行,春季,12,2,801,是,5,12月去的溱湖国家湿地公园-湿地迷宫体验区，和朋友出行。地点在泰州，自驾停车需要提前规划，现场游客较多。这次玩了2天，人均花费约801元，历史文化气息浓。景点印象：整体环境还算干净整体感受是特别满意，很推荐。二刷意愿：是。,0%,101
TR000066,中国第一滩旅游度假区,茂名,广东,城市漫游,秋季,8,3,941,是,3,8月去的中国第一滩旅游度假区，情侣出行。地点在茂名，地铁到达方便，现场人流量适中。这次玩了3天，人均花费约941元，历史文化气息浓。景点印象：碧海白沙与防护林带交相辉映，景色美不胜收，娱乐项目也不少。整体感受是中规中矩，避开高峰更好。二刷意愿：是。,25%,78
TR000067,登山观景台,五指山,海南,文化打卡,秋季,7,3,663,否,5,7月去的登山观景台，一个人出行。地点在五指山，地铁到达方便，现场游客较多。这次玩了3天，人均花费约663元，历史文化气息浓。景点印象：周边配套比较齐全整体感受是特别满意，很推荐。二刷意愿：否。,0%,63
TR000068,六寮水库,钦州,广西,深度游,春季,12,2,734,是,5,12月去的六寮水库，和家人出行。地点在钦州，公交换乘方便，现场人不算多。这次玩了2天，人均花费约734元，拍照很出片。景点印象：周边配套比较齐全整体感受是超出预期，值得专门打卡。二刷意愿：是。,0%,85
TR000069,山顶公园,平顶山,河南,城市漫游,秋季,7,1,327,是,5,7月去的山顶公园，和朋友出行。地点在平顶山，自驾停车需要提前规划，现场人流量适中。这次玩了1天，人均花费约327元，拍照很出片。景点印象：整体环境还算干净整体感受是超出预期，很推荐。二刷意愿：是。,0%,107
TR000070,黄兴路步行街,长沙,湖南,文化打卡,春季,12,3,1159,是,3,12月去的黄兴路步行街，情侣出行。地点在长沙，地铁到达方便，现场游客较多。这次玩了3天，人均花费约1159元，拍照很出片。景点印象：整体环境还算干净整体感受是还可以，避开高峰更好。二刷意愿：是。,37%,96
TR000071,宋都御街,开封,河南,城市漫游,夏季,3,2,692,否,5,3月去的宋都御街，情侣出行。地点在开封，打车比较省心，现场高峰时段比较拥挤。这次玩了2天，人均花费约692元，夜景表现很好。景点印象：景点本身有一定特色整体感受是超出预期，很推荐。二刷意愿：否。,31%,84
TR000072,太安森林公园,铜川,陕西,亲子出游,春季,1,3,860,否,5,1月去的太安森林公园，情侣出行。地点在铜川，自驾停车需要提前规划，现场人流量适中。这次玩了3天，人均花费约860元，夜景表现很好。景点印象：周边配套比较齐全整体感受是特别满意，值得专门打卡。二刷意愿：否。,0%,73
TR000073,国家牡丹园,洛阳,河南,深度游,夏季,4,4,1056,是,5,4月去的国家牡丹园，和家人出行。地点在洛阳，自驾停车需要提前规划，现场人流量适中。这次玩了4天，人均花费约1056元，氛围感不错。景点印象：每年的四月，游客可以在园中欣赏到几十万株、上千个品种的牡丹花，还能一睹“千年牡丹王”的风采。整体感受是特别满意，很推荐。二刷意愿：是。,2%,79
TR000074,江永上甘棠古村景区,永州,湖南,文化打卡,夏季,4,1,427,是,5,4月去的江永上甘棠古村景区，情侣出行。地点在永州，公交换乘方便，现场游客较多。这次玩了1天，人均花费约427元，氛围感不错。景点印象：周边配套比较齐全整体感受是超出预期，以后还会来。二刷意愿：是。,29%,83
TR000075,左江斜塔,崇左,广西,深度游,秋季,7,2,581,否,5,7月去的左江斜塔，和朋友出行。地点在崇左，公交换乘方便，现场游客较多。这次玩了2天，人均花费约581元，夜景表现很好。景点印象：周边配套比较齐全整体感受是挺惊喜，值得专门打卡。二刷意愿：否。,0%,80
TR000076,曼嘎傣族村寨,西双版纳,云南,文化打卡,春季,2,7,1948,是,5,2月去的曼嘎傣族村寨，一个人出行。地点在西双版纳，地铁到达方便，现场人流量适中。这次玩了7天，人均花费约1948元，氛围感不错。景点印象：整体环境还算干净整体感受是特别满意，很推荐。二刷意愿：是。,0%,85
TR000077,大辣甲岛,惠州,广东,周末短途,夏季,3,3,853,否,4,3月去的大辣甲岛，和家人出行。地点在惠州，公交换乘方便，现场游客较多。这次玩了3天，人均花费约853元，历史文化气息浓。景点印象：周边配套比较齐全整体感受是体验挺好，可以安排半天到一天。二刷意愿：否。,1%,96
TR000078,五龙潭公园,济南,山东,周末短途,冬季,9,1,634,否,3,9月去的五龙潭公园，和朋友出行。地点在济南，自驾停车需要提前规划，现场人流量适中。这次玩了1天，人均花费约634元，历史文化气息浓。景点印象：观赏五龙潭、古温泉、贤清泉，游览游览秦琼故宅等景点。 济南四大名泉之一，四月和十月这里百花齐放，景色迷人。整体感受是体验一般，避开高峰更好。二刷意愿：否。,40%,39
TR000079,芜湖铁画,芜湖,安徽,亲子出游,夏季,3,2,548,否,5,3月去的芜湖铁画，和朋友出行。地点在芜湖，公交换乘方便，现场人不算多。这次玩了2天，人均花费约548元，拍照很出片。景点印象：整体环境还算干净整体感受是特别满意，以后还会来。二刷意愿：否。,0%,73
TR000080,西杨湖,蚌埠,安徽,拍照旅行,秋季,7,7,2152,否,3,7月去的西杨湖，和家人出行。地点在蚌埠，公交换乘方便，现场游客较多。这次玩了7天，人均花费约2152元，拍照很出片。景点印象：周边配套比较齐全整体感受是体验一般，别抱太高期待。二刷意愿：否。,0%,55
